4916,4920
10296,9863
10033,9948
9799,10252
10019,9889
10008,9991
9947,10077
10125,10010
9922,10008
9792,10008
9994,10028
9885,9885
9970,9989
10045,9786
9995,10222
9873,10017
9991,10061
9972,10070
10067,10006
9988,9890
9998,9861
10040,10007
9967,10101
10089,9999
9859,10077
9923,10070
10203,9837
10037,9898
10058,10148
9718,9827
10136,9993
10132,9944
9858,10018
10014,10063
9983,10118
10042,9977
10106,10089
9896,10048
9967,9957
10003,10033
9893,9955
10162,10069
10041,10054
9829,10050
9779,10019
10074,9968
10104,10128
9971,9937
9758,9996
9985,10051
10092,9915
10132,9960
10033,9930
10067,10013
10042,10002
10098,9989
10166,10002
9997,9874
10086,10126
10018,10160
9914,9917
10047,9970
10068,10087
10029,10023
9934,10102
10091,10233
10049,9894
9871,9973
9896,10001
9958,9940
9993,9766
10099,9913
9836,9932
9894,10036
10069,10062
9928,9857
9906,10145
9939,10009
10151,9901
10066,9967
9977,9942
9949,9879
10087,10041
10017,10074
9975,9916
10187,10008
10011,9953
9992,9854
10096,9978
9929,10058
10052,9989
9812,9958
9933,10104
10037,10093
9966,9993
9997,10152
10063,9975
10155,9882
9865,10007
10006,10124
5163,5109
