5019,4920
10062,9863
10062,9948
10006,10252
10019,9889
10095,9991
9897,10077
9951,10010
9985,10008
9829,10008
9997,10028
10092,9885
9850,9989
10169,9786
9996,10222
9673,10017
9987,10061
9986,10070
9981,10006
10008,9890
10115,9861
10114,10007
9977,10101
10058,9999
9873,10077
9915,10070
9923,9837
9971,9898
10029,10148
9927,9827
10051,9993
10175,9944
10204,10018
9953,10063
10028,10118
10057,9977
9858,10089
9945,10048
10069,9957
9961,10033
10002,9955
10055,10069
9927,10054
10167,10050
10103,10019
10044,9968
10135,10128
9931,9937
9901,9996
10164,10051
10008,9915
9928,9960
9984,9930
9997,10013
9992,10002
9778,9989
10048,10002
9836,9874
10044,10126
10040,10160
10047,9917
9977,9970
10074,10087
10142,10023
9975,10102
9994,10233
9932,9894
9721,9973
9906,10001
10006,9940
10250,9766
10104,9913
10187,9932
10035,10036
10056,10062
9888,9857
9970,10145
10026,10009
10046,9901
10155,9967
10038,9942
9909,9879
10113,10041
9837,10074
9995,9916
10053,10008
10131,9953
10015,9854
10010,9978
9908,10058
9892,9989
9931,9958
10131,10104
9910,10093
9795,9993
10024,10152
9824,9975
10001,9882
9998,10007
10082,10124
4961,5109
